6501000,     6712000,     USB, 10,  #505D88FF, (Transoceanic Flights) (HFDL) and (Ship/Shore) Maritime
6504000,     6507000,     USB, 10,  #5500C9C9, 602
6507000,     6510000,     USB, 10,  #55008080, 603
6510000,     6513000,     USB, 10,  #5500C9C9, 604
6513000,     6516000,     USB, 10,  #55008080, 605
6516000,     6519000,     USB, 10,  #5500C9C9, 606
6519000,     6522000,     USB, 10,  #55008080, 607
6522000,     6525000,     USB, 10,  #5500C9C9, 608
6525000,     6712000,     USB, 10,  #505D88FF, (Transoceanic Flights) (HFDL) and (Ship/Shore) Maritime
6712000,     6715000,     USB, 10,  #5090EE90, HFGCS
6715000,     6739000,     USB, 10,  #505D88FF, (Transoceanic Flights) (HFDL) and (Ship/Shore) Maritime
6739000,     6742000,     USB, 10,  #5090EE90, HFGCS
6742000,     6765000,     USB, 10,  #505D88FF, (Transoceanic Flights) (HFDL) and (Ship/Shore) Maritime
6765000,     6795000,     NFM, 10,  #44006179, ISM Band (50m)
6795000,     6913200,     USB, 10,  #55008080, Maritime
6913200,     6916200,     USB, 10,  #5500FF91, WEFAX Sydney -Nova Scotia CA (Day)
6916200,     7000000,     USB, 10,  #55008080, Maritime
7000000,     7080000,     LSB, 10,  #50FF0000, 40m Ham Band|
7080000,     7169000,     LSB, 10,  #500089FF, RTTY/Data (40m)
7169000,     7173000,     LSB, 10,  #50FF004D, SSTV (40m)
7173000,     7200000,     LSB, 10,  #50FF0000, 40m
7200000,     7300000,     LSB, 10,  #50AD63FF, Shared 40m and Shortwave (41m) Broadcast
7300000,     7450000,     AM,  10,  #505D63FF, Shortwave (41m) Broadcast
7450000,     7633500,     USB, 10,  #505D88FF, Aeronautical/ Maritime
7633500,     7636500,     USB, 10,  #5090EE90, MARS
7636500,     7708100,     USB, 10,  #505D88FF, Aeronautical/ Maritime
7708100,     7711100,     USB, 10,  #5500FF91, WEFAX Iqaluit/ Resolute CA
7711100,     7848500,     USB, 10,  #505D88FF, Aeronautical/ Maritime
7848500,     7851500,     USB, 10,  #44FF00FF, CHU Canada
7851500,     8195000,     USB, 10,  #55008080, Maritime
8195000,     8198000,     USB, 10,  #55008080, ITU Ch.801 (Ship TX)
8195000,     8294000,     USB, 10,  #505D88FF, (Transoceanic Flights) Aeronautical and (Ship/Shore) Maritime
8198000,     8201000,     USB, 10,  #5500C9C9, 802
8201000,     8204000,     USB, 10,  #55008080, 803
8204000,     8207000,     USB, 10,  #5500C9C9, 804
8207000,     8210000,     USB, 10,  #55008080, 805
8210000,     8213000,     USB, 10,  #5500C9C9, 806
8213000,     8216000,     USB, 10,  #55008080, 807
8216000,     8219000,     USB, 10,  #5500C9C9, 808
8219000,     8222000,     USB, 10,  #55008080, 809
8222000,     8225000,     USB, 10,  #5500C9C9, 810
8225000,     8228000,     USB, 10,  #55008080, 811
8228000,     8231000,     USB, 10,  #5500C9C9, 812
8231000,     8234000,     USB, 10,  #55008080, 813
8234000,     8237000,     USB, 10,  #5500C9C9, 814
8237000,     8240000,     USB, 10,  #55008080, 815
8240000,     8243000,     USB, 10,  #50FF0091, 816 (USCG Calling)
8243000,     8246000,     USB, 10,  #5500C9C9, 817
8246000,     8249000,     USB, 10,  #55008080, 818
8249000,     8252000,     USB, 10,  #5500C9C9, 819
8252000,     8255000,     USB, 10,  #55008080, 820
8255000,     8258000,     USB, 10,  #50FF0091, 821 (Calling)
8258000,     8261000,     USB, 10,  #55008080, 822
8261000,     8264000,     USB, 10,  #5500C9C9, 823
8264000,     8267000,     USB, 10,  #55008080, 824
8267000,     8270000,     USB, 10,  #5500C9C9, 825
8270000,     8273000,     USB, 10,  #55008080, 826
8273000,     8276000,     USB, 10,  #5500C9C9, 827
8276000,     8279000,     USB, 10,  #55008080, 828
8279000,     8282000,     USB, 10,  #5500C9C9, 829
8282000,     8285000,     USB, 10,  #55008080, 830
8285000,     8288000,     USB, 10,  #5500C9C9, 831
8288000,     8291000,     USB, 10,  #55008080, 832
8291000,     8294000,     USB, 10,  #55008080, 833
8294000,     8454100,     USB, 10,  #505D88FF, Aeronautical (HFDL)/ Maritime
8454100,     8457100,     USB, 10,  #5500FF91, WEFAX Inuvik CA
8457100,     8460100,     USB, 10,  #5500FF91, WEFAX Kodiak AK
8460100,     8502000,     USB, 10,  #505D88FF, Aeronautical (HFDL)/ Maritime
8502000,     8505000,     USB, 10,  #5500FF91, WEFAX New Orleans LA
8505000,     8680100,     USB, 10,  #505D88FF, Aeronautical (HFDL)/ Maritime
8680100,     8683100,     USB, 10,  #5500FF91, WEFAX PT. Reyes CA
8683100,     8707000,     USB, 10,  #505D88FF, (Transoceanic Flights) (HFDL) and (Ship/Shore) Maritime
8683100,     8992000,     USB, 10,  #505D88FF, (Transoceanic Flights) (HFDL) and (Ship/Shore) Maritime
8707000,     8710000,     USB, 10,  #55008080, ITU Ch.834 (Coast TX)
8710000,     8713000,     USB, 10,  #5500C9C9, 835
8713000,     8716000,     USB, 10,  #55008080, 836
8716000,     8719000,     USB, 10,  #5500C9C9, 837
8719000,     8722000,     USB, 10,  #55008080, 801
8722000,     8725000,     USB, 10,  #5500C9C9, 802
8725000,     8728000,     USB, 10,  #55008080, 803
8728000,     8731000,     USB, 10,  #5500C9C9, 804
8731000,     8734000,     USB, 10,  #55008080, 805
8734000,     8737000,     USB, 10,  #5500C9C9, 806
8737000,     8740000,     USB, 10,  #55008080, 807
8740000,     8743000,     USB, 10,  #5500C9C9, 808
8743000,     8746000,     USB, 10,  #55008080, 809
8746000,     8749000,     USB, 10,  #5500C9C9, 810
8749000,     8752000,     USB, 10,  #55008080, 811
8752000,     8755000,     USB, 10,  #5500C9C9, 812
8755000,     8758000,     USB, 10,  #55008080, 813
8758000,     8761000,     USB, 10,  #5500C9C9, 814
